"source_external_id","name","district","address","latitude","longitude","opening_hours","area_sqm","website","image_url"
"H0001","Activ Garden Waiblingen","Waiblingen","Düsseldorfer Str. 18, 71332 Waiblingen","48.8163316652921","9.29914359423437","","","",""
"H0002","b34 Boulderhalle","Beilngries","Bräuhausstraße 34-36, 92339 Beilngries","49.0365755151219","11.4640644613006","","","",""
"H0003","Bambule Kletterhalle","Nürnberg","Industriestraße 21A, 90441 Nürnberg","49.4317666698782","11.0592815095139","","","",""
"H0004","Basislager Bad Aibling","Bad Aibling","Otto-Wels-Straße 8, 83043 Bad Aibling","47.8797433354942","11.9909061663081","","","",""
"H0005","Berta Block Boulderhalle","Berlin","Mühlenstrasse 62, 13187 Berlin","52.5638388681169","13.4099175376379","","","",""
"H0006","Beta Boulderhalle","Hannover","Gertrud-Knebusch-Str. 15, 30167 Hannover","52.3852901965723","9.73252905951298","","","",""
"H0007","Blockhaus Freiburg","Freiburg","Merdinger Weg 6, 79111 Freiburg","47.9941379779711","7.79112487934796","","","",""
"H0008","BLOCKHELDEN Erlangen","Bubenreuth","Kurt-Albert-Straße 1, 91088 Bubenreuth","49.6306729225116","11.0114366653266","","","",""
"H0009","BLOX Boulderhalle Sauerland","Finnentrop","Eibachstraße 3, 57413 Finnentrop","51.1437443542086","7.94851808157782","","","http://www.blox-boulderhalle.de/",""
"H0010","Boulder Base Tabakquartier","Bremen","Am Tabakquartier 14, 28197 Bremen","53.0757945341033","8.77105648219164","","","http://www.boulderbasebremen.de/",""
"H0011","Boulder e.V.","Braunschweig","Westbahnhof 3, 38118 Braunschweig","52.2521013058177","10.5023500071651","","","http://boulder-ev.de/",""
"H0012","Boulderdrome","Dresden/Radebeul","Nach der Schiffsmühle 6, 01445 Dresden/Radebeul","51.1205139025058","13.5920775800381","","","https://www.boulderdrome.de/",""
"H0013","Boulderhalle Prisma","Wuppertal","Vohwinkeler Strasse 119, 42329 Wuppertal","51.2258424815494","7.06136953481302","","","http://boulderhalle-prisma.de/",""
"H0014","Boulderhalle Straubing","Straubing","Alte Ziegelei 16, 94315 Straubing","48.878131774792","12.5642894497533","","","https://www.boulderhalle-straubing.de/",""
"H0015","Boulderhaus Reutlingen","Reutlingen","Schieferstraße 8, 72760 Reutlingen","48.4991275751855","9.19967417969397","","","http://www.boulderhaus.net/",""
"H0016","Boulderkitchen Freiburg","Freiburg","Munzinger Straße 4, 79111 Freiburg","47.9908494498855","7.7952477085231","","","http://freiburg-boulderkitchen.de/",""
